Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
invitees ,tvui,postPlay,,,2023-02-17 21:43:46
invitees ,tvui,playback,,,2023-02-17 21:43:40
invitees ,tvui,postPlay,,,2023-02-17 21:43:40
invitees ,tvui,playback,,,2023-02-17 21:04:13
invitees ,tvui,postPlay,,,2023-02-17 21:04:13
invitees ,tvui,playback,,,2023-02-17 21:04:07
invitees ,tvui,postPlay,,,2023-02-17 21:04:07
invitees ,tvui,postPlay,,,2023-02-17 20:23:29
invitees ,tvui,playback,,,2023-02-17 20:23:29
invitees ,tvui,postPlay,,,2023-02-17 20:23:22
invitees ,tvui,playback,,,2023-02-17 20:23:22
invitees ,tvui,movieDetails,,,2023-02-17 20:22:56
invitees ,tvui,playback,,,2023-02-17 20:22:56
invitees ,tvui,browseTitles,,,2023-02-17 20:22:49
invitees ,tvui,movieDetails,,,2023-02-17 20:22:49
invitees ,tvui,profilesGate,,,2023-02-17 20:22:37
invitees ,tvui,browseTitles,,,2023-02-17 20:22:37
invitees ,tvui,browseTitles,,,2023-02-17 20:21:29
invitees ,tvui,movieDetails,,,2023-02-17 20:21:29
invitees ,tvui,profilesGate,,,2023-02-17 20:21:02
invitees ,tvui,browseTitles,,,2023-02-17 20:21:02
invitees ,tvui,postPlay,,,2023-02-16 21:55:17
invitees ,tvui,playback,,,2023-02-16 21:55:17
invitees ,tvui,playback,,,2023-02-16 21:55:11
invitees ,tvui,postPlay,,,2023-02-16 21:55:11
invitees ,tvui,postPlay,,,2023-02-16 21:16:03
invitees ,tvui,playback,,,2023-02-16 21:16:03
invitees ,tvui,playback,,,2023-02-16 21:15:57
invitees ,tvui,postPlay,,,2023-02-16 21:15:57
invitees ,tvui,playback,,,2023-02-16 20:30:02
invitees ,tvui,episodesSelector,,,2023-02-16 20:30:02
invitees ,tvui,episodesSelector,,,2023-02-16 20:29:55
invitees ,tvui,movieDetails,,,2023-02-16 20:29:55
invitees ,tvui,search,,,2023-02-16 20:29:47
invitees ,tvui,movieDetails,,,2023-02-16 20:29:47
invitees ,tvui,search,,,2023-02-16 20:29:21
invitees ,tvui,browseTitles,,,2023-02-16 20:29:21
invitees ,tvui,profilesGate,,,2023-02-16 20:28:55
invitees ,tvui,browseTitles,,,2023-02-16 20:28:55
