Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
invitees ,"You: Season 1: ""Pilot""",Xiaomi aquaman Streaming Stick,2023-02-19 21:03:59,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4106,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":14547,""mediaOffsetMs"":7592},{""eventType"":""stopped"",""sessionOffsetMs"":16315,""mediaOffsetMs"":9018}]"
invitees ,Season 4 Part 1 Trailer: You,Xiaomi aquaman Streaming Stick,2023-02-19 21:03:31,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3862,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":17440,""mediaOffsetMs"":13596},{""eventType"":""playing"",""sessionOffsetMs"":21565,""mediaOffsetMs"":17726},{""eventType"":""paused"",""sessionOffsetMs"":27764,""mediaOffsetMs"":23473},{""eventType"":""stopped"",""sessionOffsetMs"":29106,""mediaOffsetMs"":23821}]"
invitees ,El recluso: Season 1 (Trailer),Xiaomi aquaman Streaming Stick,2023-02-19 21:03:24,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":918},{""eventType"":""playing"",""sessionOffsetMs"":5113,""mediaOffsetMs"":918},{""eventType"":""paused"",""sessionOffsetMs"":7853,""mediaOffsetMs"":3330},{""eventType"":""stopped"",""sessionOffsetMs"":10232,""mediaOffsetMs"":3330}]"
invitees ,Season 4 Part 1 Trailer: You,Xiaomi aquaman Streaming Stick,2023-02-19 21:03:20,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3638,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3993,""mediaOffsetMs"":175},{""eventType"":""stopped"",""sessionOffsetMs"":6498,""mediaOffsetMs"":175}]"
invitees ,"You: Season 1: ""Pilot""",Xiaomi aquaman Streaming Stick,2023-02-19 21:01:38,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5448,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":90672,""mediaOffsetMs"":77752},{""eventType"":""stopped"",""sessionOffsetMs"":93010,""mediaOffsetMs"":83520}]"
invitees ,"You: Season 4: ""Joe Takes a Holiday""",Xiaomi aquaman Streaming Stick,2023-02-19 21:01:18,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5519,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5947,""mediaOffsetMs"":262},{""eventType"":""stopped"",""sessionOffsetMs"":19897,""mediaOffsetMs"":262}]"
invitees ,Mission: Impossible - Fallout_hook_primary_16x9,Xiaomi aquaman Streaming Stick,2023-02-19 20:59:45,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5975,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":24979,""mediaOffsetMs"":18977},{""eventType"":""playing"",""sessionOffsetMs"":40787,""mediaOffsetMs"":34784},{""eventType"":""playing"",""sessionOffsetMs"":44789,""mediaOffsetMs"":38788},{""eventType"":""playing"",""sessionOffsetMs"":49131,""mediaOffsetMs"":43126},{""eventType"":""playing"",""sessionOffsetMs"":53220,""mediaOffsetMs"":47213},{""eventType"":""playing"",""sessionOffsetMs"":58315,""mediaOffsetMs"":52302},{""eventType"":""playing"",""sessionOffsetMs"":73320,""mediaOffsetMs"":67317},{""eventType"":""stopped"",""sessionOffsetMs"":88981,""mediaOffsetMs"":82386}]"
invitees ,Season 1 Trailer 2: La legge di Lidia Poët,Xiaomi aquaman Streaming Stick,2023-02-19 20:57:57,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":7076,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":48641,""mediaOffsetMs"":41458},{""eventType"":""playing"",""sessionOffsetMs"":64337,""mediaOffsetMs"":57208},{""eventType"":""stopped"",""sessionOffsetMs"":108925,""mediaOffsetMs"":101191}]"
invitees ,Season 4 Part 1 Trailer: You,Xiaomi aquaman Streaming Stick,2023-02-19 20:55:17,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5023,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":32475,""mediaOffsetMs"":27527},{""eventType"":""stopped"",""sessionOffsetMs"":160232,""mediaOffsetMs"":153945}]"
invitees ,"Ganglands: Season 2: ""Episode 6""",Xiaomi aquaman Streaming Stick,2023-02-19 20:53:22,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4575,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":14115,""mediaOffsetMs"":9327},{""eventType"":""reposition"",""sessionOffsetMs"":37177,""mediaOffsetMs"":2470000},{""eventType"":""playing"",""sessionOffsetMs"":39821,""mediaOffsetMs"":2468291},{""eventType"":""paused"",""sessionOffsetMs"":117635,""mediaOffsetMs"":2545713},{""eventType"":""stopped"",""sessionOffsetMs"":120032,""mediaOffsetMs"":2546099}]"
