Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Fabrice,NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,iPad Air Cellular,2021-04-05T05:37:05.716Z,2023-02-11T06:23:02.974Z,2021-04-05T05:37:05.716Z,2023-02-11T06:23:02.974Z,2021-04-05T05:37:05.716Z,2023-02-11T06:23:02.974Z,2021-04-05T05:37:05.716Z,2023-02-11T06:23:02.974Z,1970-01-01T00:00:00.000Z
Fabrice,NFPS3-001-JFXUZG0G6PDDREP6JPH3M0LY50,Sony PS3,2022-05-11T11:44:28.712Z,2022-05-11T11:44:28.712Z,,,2022-05-11T11:44:28.712Z,2022-05-11T11:44:28.712Z,,,1970-01-01T00:00:00.000Z
Fabrice,NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,Netflix Chrome MAC (Cadmium) HTML 5,2022-05-10T14:54:24.780Z,2023-02-21T05:53:17.855Z,2022-05-10T14:57:12.379Z,2023-02-21T05:53:17.855Z,2022-05-10T14:54:24.780Z,2023-02-21T05:53:17.855Z,2022-05-10T14:57:12.379Z,2023-02-21T05:53:17.855Z,1970-01-01T00:00:00.000Z
Fabrice,NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,Sony PS3,2018-09-02T14:07:20.456Z,2023-02-06T20:22:28.804Z,2018-11-30T22:16:16.150Z,2023-02-06T19:51:02.468Z,2018-09-02T14:07:20.456Z,2023-02-06T20:22:28.804Z,2018-11-30T22:16:16.150Z,2023-02-06T19:51:02.468Z,1970-01-01T00:00:00.000Z
Fabrice,NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-5168C43AD1E32F0D64106DD40A1857793906FAC58870A6B1FBDB06999DE7AADD,Xiaomi aquaman Streaming Stick,2022-02-02T20:47:29.062Z,2022-07-15T20:09:15.256Z,2022-02-03T07:22:38.308Z,2022-07-15T20:09:15.256Z,2022-02-02T20:47:29.062Z,2022-07-15T20:09:15.256Z,2022-02-03T07:22:38.308Z,2022-07-15T20:09:15.256Z,1970-01-01T00:00:00.000Z
Fabrice,NFANDROID1-PRV-P-L3-CROSSCORE-X4-8159-07F95C5C97E40D5429F436A17129373D483B2CFDDAF4F80DFAA280BFA49B134C7,Android DefaultWidevineL3Phone Android Phone,2022-01-26T07:42:35.596Z,2022-01-26T07:42:35.596Z,2022-01-26T07:42:35.596Z,2022-01-26T07:42:35.596Z,2022-01-26T07:42:35.596Z,2022-01-26T07:42:35.596Z,2022-01-26T07:42:35.596Z,2022-01-26T07:42:35.596Z,1970-01-01T00:00:00.000Z
Fabrice,NFANDROID1-PRV-P-L3-CROSSCORE-X4-8159-0A0CF627B98CC37C721AEE42C21BEAE3A18F379A6AF7BBC6F740331044D82D111,Android DefaultWidevineL3Phone Android Phone,2022-01-18T19:55:13.544Z,2022-01-18T20:57:29.294Z,2022-01-18T19:55:13.544Z,2022-01-18T20:57:29.294Z,2022-01-18T19:55:13.544Z,2022-01-18T20:57:29.294Z,2022-01-18T19:55:13.544Z,2022-01-18T20:57:29.294Z,1970-01-01T00:00:00.000Z
Fabrice,NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,Sony PS4,2022-01-08T13:35:31.078Z,2022-01-10T19:14:55.022Z,2022-01-08T13:35:56.169Z,2022-01-10T19:14:55.022Z,2022-01-08T13:35:31.078Z,2022-01-10T19:14:55.022Z,2022-01-08T13:35:56.169Z,2022-01-10T19:14:55.022Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-02-IPHONE11=8-SNKJWBE5SJA5CNMX6G6A64V6U7E5QP7RNPFDPIETLVG73EC5XFTA,Apple iPhone XR,,,,,,,,,1970-01-01T00:00:00.000Z
Fabrice,NFANDROID1-PRV-P-L3-XIAOMREDMI=NOTE=7-22586-04ADE8ADBC9311419DA9594BE18F1D3EA16AFEC275265AEC43434C9B4259F6203,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000Z
